eV,Counts / s
541.26,2743.37
541.21,2690.68
541.16,2611.52
541.11,2661.09
541.06,2695.48
541.01,2594.64
540.96,2621.95
540.91,2688.78
540.86,2657.91
540.81,2516.03
540.76,2602.72
540.71,2567.48
540.66,2565.93
540.61,2629.93
540.56,2640.96
540.51,2596.59
540.46,2564.45
540.41,2642.38
540.36,2672.07
540.31,2645.36
540.26,2571.08
540.21,2619.75
540.16,2662.52
540.11,2617.47
540.06,2652.24
540.01,2767.96
539.96,2572.3
539.91,2584.91
539.86,2547.87
539.81,2667.69
539.76,2722.96
539.71,2680.72
539.66,2617.8
539.61,2551.37
539.56,2643.18
539.51,2580.01
539.46,2551.17
539.41,2594.96
539.36,2520.08
539.31,2652.96
539.26,2515.46
539.21,2548.69
539.16,2528.01
539.11,2583.33
539.06,2534.41
539.01,2549.99
538.96,2634.55
538.91,2708.61
538.86,2613.35
538.81,2566.08
538.76,2516.38
538.71,2598.96
538.66,2579.36
538.61,2621.2
538.56,2640.93
538.51,2482.62
538.46,2518.71
538.41,2659.59
538.36,2606.24
538.31,2522.66
538.26,2573.58
538.21,2674.82
538.16,2479.09
538.11,2529.64
538.06,2676.42
538.01,2550.17
537.96,2504.45
537.91,2592.26
537.86,2573.6
537.81,2520.48
537.76,2603.12
537.71,2483.37
537.66,2438.48
537.61,2501.35
537.56,2488.5
537.51,2557.9
537.46,2560.17
537.41,2641.36
537.36,2484.82
537.31,2469.44
537.26,2528.39
537.21,2617.62
537.16,2554.02
537.11,2591.54
537.06,2684
537.01,2651.61
536.96,2616.67
536.91,2558.65
536.86,2609.42
536.81,2588.84
536.76,2577.88
536.71,2574.65
536.66,2661.24
536.61,2619.3
536.56,2586.48
536.51,2521.28
536.46,2585.46
536.41,2501.08
536.36,2606.57
536.31,2671.14
536.26,2631.65
536.21,2708.61
536.16,2699.28
536.11,2722.66
536.06,2805.72
536.01,2708.88
535.96,2757.43
535.91,2781.71
535.86,2804.47
535.81,2744.97
535.76,2752.63
535.71,2769.71
535.66,2841.81
535.61,2861.97
535.56,2766.93
535.51,2770.66
535.46,2974.84
535.41,2962.96
535.36,2896.53
535.31,2956.21
535.26,3126.3
535.21,3105.59
535.16,3111.67
535.11,3162.52
535.06,3327.86
535.01,3563.33
534.96,3468.49
534.91,3445.23
534.86,3486.74
534.81,3544.67
534.76,3658.71
534.71,3821.55
534.66,3888.43
534.61,3968.56
534.56,4123.25
534.51,4222.36
534.46,4399.73
534.41,4521.78
534.36,4618.35
534.31,4672.92
534.26,4947.48
534.21,5186.1
534.16,5236.14
534.11,5375.93
534.06,5660.11
534.01,5838.46
533.96,6106.72
533.91,6049.42
533.86,6269.98
533.81,6375.45
533.76,6560.37
533.71,6598.96
533.66,6558.57
533.61,6734.44
533.56,6953.81
533.51,7158.59
533.46,7205.83
533.41,7251.73
533.36,7410.61
533.31,7485.52
533.26,7423.24
533.21,7361.27
533.16,7170.24
533.11,7520.76
533.06,7497.72
533.01,7299.34
532.96,7241.72
532.91,7216.14
532.86,7294.62
532.81,7302.47
532.76,7258.45
532.71,7410.16
532.66,7548.54
532.61,7497.45
532.56,7754.08
532.51,7881.28
532.46,7876.1
532.41,7904.46
532.36,8003.18
532.31,8075.51
532.26,8022.71
532.21,8060.2
532.16,8232.14
532.11,7913.39
532.06,7940.68
532.01,7898.66
531.96,8035.96
531.91,7993.32
531.86,7478.32
531.81,7333.11
531.76,7363.12
531.71,6984.72
531.66,6769.83
531.61,6565.88
531.56,6440.03
531.51,6408.44
531.46,6119.67
531.41,5854.12
531.36,5675.4
531.31,5459.73
531.26,5315.98
531.21,5051.05
531.16,4850.94
531.11,4717.36
531.06,4586.91
531.01,4459.51
530.96,4486.62
530.91,4344.44
530.86,4178.15
530.81,4047.44
530.76,3973.99
530.71,3684.57
530.66,3742
530.61,3749.22
530.56,3619.22
530.51,3500.88
530.46,3448.38
530.41,3316.68
530.36,3396.76
530.31,3302.4
530.26,3228.79
530.21,3127.85
530.16,3129.25
530.11,3143.36
530.06,3063.13
530.01,3054.52
529.96,2943.48
529.91,2924.64
529.86,2879.25
529.81,2827.81
529.76,2885.9
529.71,2839.96
529.66,2748
529.61,2685.55
529.56,2724.74
529.51,2618.37
529.46,2608.77
529.41,2479.27
529.36,2451.78
529.31,2616.05
529.26,2626.7
529.21,2605.64
529.16,2604.89
529.11,2552.07
529.06,2660.61
529.01,2595.56
528.96,2545.22
528.91,2513.68
528.86,2482.07
528.81,2456.26
528.76,2360.54
528.71,2407.64
528.66,2473.49
528.61,2581.26
528.56,2590.81
528.51,2410.91
528.46,2353.52
528.41,2379.35
528.36,2473.26
528.31,2482.62
528.26,2347.84
528.21,2379.65
528.16,2312.63
528.11,2478.79
528.06,2492.45
528.01,2488.12
527.96,2502.18
527.91,2504.83
527.86,2383.93
527.81,2441.45
527.76,2366.55
527.71,2342.56
527.66,2331.71
527.61,2447.35
527.56,2417.07
527.51,2351.32
527.46,2366.17
527.41,2349.16
527.36,2416.84
527.31,2403.89
527.26,2365.65
527.21,2408.14
527.16,2403.39
527.11,2386.65
527.06,2301.82
527.01,2330.41
526.96,2392.53
526.91,2381.83
526.86,2482.99
526.81,2378.28
526.76,2361.49
526.71,2481.42
526.66,2452.88
526.61,2429.1
526.56,2425.72
526.51,2386.98
526.46,2439.68
526.41,2455.66
526.36,2347.44
526.31,2395.28
526.26,2346.49
526.21,2381.75
526.16,2347.09
526.11,2347.61
526.06,2333.26
526.01,2523.48
525.96,2505.48
525.91,2364.9
525.86,2334.41
525.81,2434.72
525.76,2483.72
525.71,2401.31
525.66,2376.4
525.61,2381.3
525.56,2420.34
525.51,2451.56
525.46,2445.5
525.41,2517.71
525.36,2453.18
525.31,2363.52
525.26,2323.5
525.21,2296.12
525.16,2434
525.11,2426.7
525.06,2337.31
525.01,2386.35
524.96,2372.15
524.91,2407.71
524.86,2374.87
524.81,2454.76
524.76,2418.42
524.71,2418.87
524.66,2421.14
524.61,2392.16
524.56,2374.8
524.51,2473.71
524.46,2489.1
524.41,2379.03
524.36,2369.15
524.31,2425.8
524.26,2397.93
